exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,IISL,540134,25.8,26,25.65,25.75,12403,EQ,25.65,25.7,NA,NA,NA,X,39,320350,NA
bse,2018-07-30,HPL,540136,73,76.3,72.55,75.85,14512,EQ,76.25,72.85,NA,NA,NA,B,219,1090441,NA
bse,2018-07-30,SAGARSOFT,540143,105,113,105,109.7,10997,EQ,108.85,109.6,NA,NA,NA,X,96,1193987,NA
bse,2018-07-30,VALIANTORG,540145,751.05,770,751,765,1050,EQ,765,770,NA,NA,NA,M,7,799057,NA
bse,2018-07-30,ACML,540146,180,180.05,180,180.05,2000,EQ,180.05,179.05,NA,NA,NA,M,2,360050,NA
bse,2018-07-30,ENDURANCE,540153,1349,1352,1330,1335.25,786,EQ,1332.25,1343.85,NA,NA,NA,B,181,1055076,NA
bse,2018-07-30,PNBHOUSING,540173,1350,1366,1303,1311.55,4236,EQ,1316,1346.95,NA,NA,NA,A,326,5626048,NA
bse,2018-07-30,REGENCY,540175,47.25,47.5,46.9,47.05,7156,EQ,47,46.95,NA,NA,NA,X,106,336642,NA
bse,2018-07-30,VBL,540180,701.65,716.85,692.55,697.75,1844,EQ,697.95,698.9,NA,NA,NA,B,226,1291964,NA
bse,2018-07-30,LKPSEC,540192,18.6,19.45,17.3,17.4,11706,EQ,17.4,18.05,NA,NA,NA,X,108,205071,NA
bse,2018-07-30,SFL,540203,1461.15,1480.85,1461.15,1480.85,12,EQ,1480.85,1495,NA,NA,NA,B,7,17605,NA
bse,2018-07-30,NIDL,540204,69.3,69.3,69.3,69.3,5,EQ,69.3,66,NA,NA,NA,XT,1,346,NA
bse,2018-07-30,AVL,540205,67,67.05,67,67,6000,EQ,67,67.2,NA,NA,NA,M,3,402100,NA
bse,2018-07-30,TMRVL,540210,63,65.3,63,64.1,541,EQ,64,64,NA,NA,NA,B,27,34622,NA
bse,2018-07-30,TCIEXP,540212,636,649.95,636,644.9,3815,EQ,640,633.2,NA,NA,NA,B,187,2453229,NA
bse,2018-07-30,LAURUSLABS,540222,450,460.25,449.3,451,5136,EQ,451,449.7,NA,NA,NA,A,169,2344540,NA
bse,2018-07-30,NEWLIGHT,540243,26.35,26.95,25,26,30015,EQ,26,25.9,NA,NA,NA,X,47,769606,NA
